Program,Target Group,URL,Notes
OutInTech,LGBTQ+,https://outintech.com/,Organization for LGBTQ+ Tech Professionals
O4U Tech,LGBTQ+,https://www.outforundergrad.org/tech,Hosts Semi-Annual Conferences/Career Fairs for LGBTQ+ Tech Professionals 
Jane Street Focus,"Black or African American, Native American or Alaska Native, Hispanic or Latinx, or Native Hawaiian or Other Pacific Islander",https://www.janestreet.com/focus,Annual recruiting event by Jane Street (quantitative trading firm) for underrepresented groups
AfroTech,Black or African American,https://afrotech.com/,"Website with content and resources for Black or African American professionals, also hosts an annual Conference/Career Fair"
Grace Hopper Conference,Women or Female-Identifying,https://ghc.anitab.org/,"Annual Conference/Career Fair for women technologists at all career levels. Registration is competitive, but free for those who identify as Black, Latina, Hispanic, Native American, Alaska Native, Native Hawaiian, and Pacific Islander"
Goldman Sachs Scholarship for Excellence,"Black, Hispanic/Latinx or Native American Undergraduate Juniors",https://www.goldmansachs.com/careers/students/programs/americas/scholarship-for-excellence.html,Scholarship for members of underrepresented groups
GS Veterans Possibility Summit,"Military Veterans, undergraduate and pre-MBA",https://www.goldmansachs.com/careers/students/programs/americas/veterans-possibilities-summit.html,Networking/Recruiting Event
GS Diverse Abilities Summit,Individuals who identify as having a disability,https://www.goldmansachs.com/careers/students/programs/americas/diverse-abilities-summit.html,Networking/Recruiting Event
GS Women's Possibilities Summit,"Women or Female-Identifying, freshman and sophomores",https://www.goldmansachs.com/careers/students/programs/americas/womens-possibilities-summit.html,"Networking/Recruiting Event, with workshops and opportunities to interview"
GS Undergrad Possibilities Summit,"Black, Hispanic/Latinx, Native American, and/or first-generation college students",https://www.goldmansachs.com/careers/students/programs/americas/undergrad-possibilities-summit.html,"Networking/Recruiting Event, with workshops and opportunities to interview"
GS LGBT+ Possibilities Summit,LGBTQ+,https://www.goldmansachs.com/careers/students/programs/americas/lgbt-possibilities-summit.html,"Networking/Recruiting Event, with workshops and opportunities to interview"
GS Hispanic/Latinx Possibilities Summit,Hispanic/Latinx,https://www.goldmansachs.com/careers/students/programs/americas/hispanic-latinx-possibilities-summit.html,"Networking/Recruiting Event, with workshops and opportunities to interview"
Dreamcorps Tech,"Low-income, Black, Hispanic/Latinx or Native American",https://www.thedreamcorps.org/our-programs/tech/,"Provides Alumni Network, Bootcamp Training and Corporate Cohort program for underserved groups"
